titles,word,n,n_words
Письмо к ученому соседу,не,32,1327
"За двумя зайцами погонишься, ни одного не поймаешь",не,42,1311
Папаша,не,70,1686
"Тысяча одна страсть, или Страшная ночь",не,8,954
Перед свадьбой,не,60,1459
Жены артистов,не,91,3686
Петров день,не,87,3312
Темпераменты,не,29,1041
В вагоне,не,33,1442
Грешник из Толедо,не,37,1683
"Исповедь, или Оля, Женя, Зоя",не,42,1942
Летающие острова,не,29,1778
Сказки Мельпомены,не,65,2404
Два скандала,не,68,3130
Барон,не,58,1965
Месть,не,42,1764
Трагик,не,24,1050
Темною ночью,не,6,298
На гвозде,не,5,425
Размазня,не,13,481
Патриот своего отечества,не,4,428
Случай из судебной практики,не,9,660
Загадочная натура,не,9,595
Верба,не,17,1091
Вор,не,21,1040
Раз в год,не,23,1002
Герой-барыня,не,15,1075
Смерть чиновника,не,27,691
Он понял!,не,63,2837
Добродетельный кабатчик,не,8,473
Дочь Альбиона,не,21,1046
Краткая анатомия человека,не,9,467
Шведская спичка,не,131,5365
Отставной раб,не,8,555
Осенью,не,26,1638
Толстый и тонкий,не,2,526
Клевета,не,20,1082
В рождественскую ночь,не,34,1753
Орден,не,13,848
Комик,не,10,507
Репетитор,не,14,759
Певчие,не,22,1298
Трифон,не,29,1062
Дачница,не,13,711
Русский уголь,не,17,1230
Брожение умов,не,27,973
Экзамен на чин,не,20,913
Хирургия,не,30,960
Хамелеон,не,23,909
Надлежащие меры,не,9,936
Винт,не,15,999
Брак по расчету,не,22,1140
Господа обыватели,не,18,913
Устрицы,не,20,1135
Капитанский мундир,не,23,1584
У предводительши,не,16,1069
Живая хронология,не,9,713
Разговор человека с собакой,не,13,549
Оба лучше,не,34,1303
Мелюзга,не,13,929
Упразднили!,не,56,1528
Канитель,не,10,611
Последняя могиканша,не,35,1276
Симулянты,не,18,993
Налим,не,30,1301
В аптеке,не,16,1098
Не судьба!,не,41,1141
Мыслитель,не,7,932
Заблудшие,не,27,1096
Егерь,не,31,1262
Злоумышленник,не,33,1075
Конь и трепетная лань,не,28,1260
Свистуны,не,13,1025
Отец семейства,не,33,1109
Мертвое тело,не,34,1215
Кухарка женится,не,42,1412
Стена,не,24,682
Два газетчика,не,16,854
На чужбине,не,31,1094
Циник,не,26,1125
Сонная одурь,не,17,1131
Тапер,не,38,1471
Пересолил,не,32,1128
Старость,не,33,1422
Горе,не,41,1575
"Ну, публика!",не,26,935
Шило в мешке,не,37,1271
Восклицательный знак,не,23,1239
Зеркало,не,20,1190
Детвора,не,30,1452
Тоска,не,30,1462
Анюта,не,20,1162
Актерская гибель,не,36,1700
Иван Матвеич,не,21,1485
Нахлебники,не,35,1716
"Что чаще всего встречается в романах, повестях и т. п.?",не,3,229
Каникулярные работы институтки Наденьки N,не,11,570
Мой юбилей,не,2,280
За яблочки,не,46,1782
По-американски,не,29,507
Салон де варьете,не,18,1006
Суд,не,36,1079
И то и се. Поэзия и проза,не,3,439
И то и се. <Письма и телеграммы>,не,15,633
На волчьей садке,не,33,1270
Задачи сумасшедшего математика,не,1,254
Забыл!!,не,20,1065
Жизнь в вопросах и восклицаниях,не,29,894
Встреча весны,не,22,895
Зеленая Коса,не,80,4305
"«Свидание хотя и состоялось, но…»",не,24,1347
Корреспондент,не,88,4631
Сельские эскулапы,не,40,1365
Пропащее дело,не,29,1285
Скверная история. Нечто романообразное,не,64,2552
Двадцать девятое июня,не,69,1920
Который из трех?,не,45,1751
Ярмарка,не,35,1668
Речь и ремешок,не,9,400
Нарвался,не,15,566
Неудачный визит,не,2,119
Идиллия – увы и ах!,не,7,597
Добрый знакомый,не,5,384
Пережитое,не,5,309
Философские определения жизни,не,6,204
Мошенники поневоле,не,17,864
Гадальщики и гадальщицы,не,4,256
Кривое зеркало,не,17,812
Два романа,не,12,537
Гречневая каша сама себя хвалит,не,5,254
Ряженые,не,19,1215
Двое в одном,не,23,592
Радость,не,8,475
Отвергнутая любовь,не,4,234
Мысли читателя газет и журналов,не,5,107
Единственное средство,не,23,735
Случаи mania grandiosa[108 - Мания величия (лат.).],не,8,306
Исповедь,не,25,960
На магнетическом сеансе,не,17,649
Ушла,не,10,408
В цирульне,не,14,866
Современные молитвы,не,8,340
Роман адвоката,не,1,160
Что лучше?,не,5,122
Благодарный,не,15,613
Совет,не,15,393
Крест,не,3,102
Женщина без предрассудков,не,24,1053
Ревнитель,не,7,485
Коллекция,не,7,360
Баран и барышня,не,11,543
Торжество победителя,не,14,907
Умный дворник,не,9,645
Дурак,не,17,802
"Рассказ, которому трудно подобрать название",не,6,395
Братец,не,8,486
Филантроп,не,8,468
Разговор,не,18,643
Рыцари без страха и упрека,не,14,684
Обер-верхи,не,4,170
Лист,не,8,504
"Слова, слова и слова",не,18,702
Двадцать шесть,не,6,347
Теща-адвокат,не,29,647
Моя Нана,не,14,605
Случай с классиком,не,11,789
Закуска,не,21,681
Съезд естествоиспытателей в Филадельфии,не,5,232
Кое-что,не,12,655
Бенефис соловья,не,10,529
"Депутат, или Повесть о том, как у Дездемонова 25 рублей пропало",не,35,913
"О том, как я в законный брак вступил",не,25,897
Из дневника помощника бухгалтера,не,12,534
Весь в дедушку,не,15,531
Козел или негодяй?,не,1,159
Кое-что 2,не,13,514
Сущая правда,не,14,512
Злой мальчик,не,10,681
"3000 иностранных слов, вошедших в употребление русского языка",не,1,159
Перепутанные объявления,не,4,187
Приданое,не,28,1518
Справка,не,9,643
Мои чины и титулы,не,3,237
"Дура, или Капитан в отставке",не,29,772
В ландо,не,17,589
В Москве на Трубной площади,не,11,1124
Признательный немец,не,4,202
Мои остроты и изречения,не,1,165
Дочь коммерции советника,не,14,976
Опекун,не,25,767
Знамение времени,не,2,171
В почтовом отделении,не,10,417
Юристка,не,6,308
Из дневника одной девицы,не,5,295
Начальник станции,не,16,867
Сборник для детей,не,20,1040
В гостиной,не,5,368
Экзамен,не,3,236
Либерал,не,33,1230
"Завещание старого, 1883-го года",не,6,279
Контракт 1884 года с человечеством,не,3,228
75 000,не,35,1386
Марья Ивановна,не,20,819
Молодой человек,не,3,334
Perpetuum mobile,не,43,2001
Месть женщины,не,24,778
Ванька,не,15,723
На охоте,не,8,511
"О женщины, женщины!..",не,15,618
Наивный леший,не,16,869
Прощение,не,6,227
Сон репортера,не,8,761
Два письма,не,4,463
Жалобная книга,не,6,320
Чтение,не,22,944
Жизнеописания достопримечательных современников,не,13,771
Плоды долгих размышлений,не,3,107
Несколько мыслей о душе,не,2,159
Говорить или молчать?,не,7,319
Гордый человек,не,27,1119
Альбом,не,13,572
Несообразные мысли,не,2,307
Самообольщение,не,15,375
Из огня да в полымя,не,55,1821
«Кавардак в Риме»,не,14,606
Затмение Луны,не,14,417
На кладбище,не,13,603
Гусиный разговор,не,8,378
Язык до Киева доведет,не,15,356
И прекрасное должно иметь пределы,не,7,505
Свадьба с генералом,не,24,1577
К характеристике народов,не,8,475
Картинки из недавнего прошлого,не,15,638
Страшная ночь,не,46,1849
Не в духе,не,11,507
Предписание,не,5,129
Праздничная повинность,не,42,942
Дело о 1884 годе,не,9,320
Масленичные правила дисциплины,не,10,192
Служебные пометки,не,10,323
В бане,не,60,2181
«О марте. Об апреле. О мае. Об июне и июле. Об августе»,не,21,1685
Не тлетворные мысли,не,5,101
Женский тост,не,6,291
Правила для начинающих авторов,не,33,863
Красная горка,не,12,599
Жизнь прекрасна!,не,31,322
На гулянье в Сокольниках,не,4,586
Женщина с точки зрения пьяницы,не,3,176
Дипломат,не,49,1177
"О том, о сем…",не,5,227
Финтифлюшки,не,3,198
Ворона,не,17,1306
Кулачье гнездо,не,20,962
Кое-что об А. С. Даргомыжском,не,2,471
Бумажник,не,11,769
Сапоги,не,13,1137
Нервы,не,21,1084
Вверх по лестнице,не,4,277
Дачники,не,5,500
Стража под стражей,не,10,1176
Мои жены,не,49,2044
Интеллигентное бревно,не,31,1364
Рыбье дело,не,20,785
Лошадиная фамилия,не,26,913
Необходимое предисловие,не,3,194
Нечто серьезное,не,3,211
Жених и папенька,не,52,1290
Гость,не,20,1093
Утопленник,не,25,917
Женское счастье,не,21,1107
После бенефиса,не,27,1172
Общее образование,не,34,1321
Психопаты,не,38,1128
Индейский петух,не,27,970
Средство от запоя,не,38,1563
Дорогая собака,не,26,681
Контрабас и флейта,не,45,1320
Руководство для желающих жениться,не,29,1119
Писатель,не,17,958
Брак через 10–15 лет,не,18,802
Тряпка,не,54,1873
Моя беседа с Эдисоном,не,8,393
Святая простота,не,44,1470
Mari d’Elle,не,35,1425
Антрепренер под диваном,не,21,833
Новогодние великомученики,не,19,680
Шампанское,не,2,243
Неудача,не,10,471
К сведению мужей,не,31,1266
Первый дебют,не,27,1581
У телефона,не,11,530
Открытие,не,25,982
Переполох,не,54,2048
Беседа пьяного с трезвым чертом,не,11,537
Глупый француз,не,25,914
Блины,не,26,1101
О бренности,не,3,238
Персона,не,23,1006
Отрава,не,32,1374
Мой разговор с почтмейстером,не,22,931
О женщинах,не,17,637
Знакомый мужчина,не,20,1012
Литературная табель о рангах,не,1,132
Счастливчик,не,26,1330
